date,title,description,sentiment,confidence
2025-09-06,Apple sued by authors over use of books in AI training,"The lawsuit is the latest in a wave of cases from authors, news outlets and others accusing major technology companies of violating legal protections for their works. Artificial intelligence startup Anthropic on Friday disclosed in a court filing in Californi…",negative,0.8848698735237122
2025-09-06,Anthropic to pay authors $1.5 billion to settle lawsuit over pirated books used to train AI chatbots,Artificial intelligence company Anthropic has agreed to pay $1.5 billion to settle a class-action lawsuit by book authors who say the company took pirated copies of their works to train its chatbot,negative,0.45578092336654663
2025-09-06,Trump hosts White House dinner for GOP lawmakers at paved space he dubbed 'Rose Garden Club',"President Donald Trump hosted a dinner Friday night for members of Congress in the newly paved White House Rose Garden, telling them they were the first gathering of what he dubbed the “Rose Garden Club.”",neutral,0.9306660890579224
2025-09-06,Verified College Students: 12 Months of Microsoft 365 Personal Free (New Accounts only),https://www.microsoft.com/en-us/m...nt-pricing Microsoft is giving away Microsoft 365 Personal subscriptions to all US college students. This subscription gives students free access to Microsoft's...,neutral,0.9158504605293274
2025-09-06,reflex-azure-auth 0.1.1,Integration with Azure (Microsoft identity platform) OpenID Connect,neutral,0.8680394291877747
2025-09-06,Tesla's proposed pay package could make Elon Musk a trillionaire,Elon Musk is already the wealthiest person in the world.,neutral,0.8577036261558533
2025-09-06,The number of mis-issued 1.1.1.1 certificates grows. Here�s the latest.,The number of mis-issued 1.1.1.1 certificates grows. Heres the latest. - posted in General Chat: Wednesday’s discovery of three mis-issued TLS certificates for Cloudflare’s 1.1.1.1 encrypted DNS lookup service generated intense interest and concern among In…,positive,0.5639861226081848
2025-09-06,policy-weaver 0.2.7,Policy Weaver for Microsoft Fabric,neutral,0.935639500617981
2025-09-06,Windows 11 25H2 Build 26220.5790(KB5065779)がリリース - Devチャンネル向け、ファイルエクスプローラーの改善や、Windows Studio Effectsなど,Microsoftは9月5日(現地時間)、Windows 11のWindows Insider ProgramのDevチャンネル向けの最新ビルド「Windows 11 Insider Preview Build 26220.5790(KB5,neutral,0.8749927282333374
2025-09-06,"I moved my Windows user folder to another SSD, and it made a surprising difference","Learn how moving your Windows User folder to an SSD can boost performance, enhance security, and free up space on your primary drive. Follow these steps for a smoother, more responsive Windows experience.",neutral,0.7173882126808167
2025-09-06,Updated Debian 12: 12.12 released,"The Debian project is pleased to announce the twelfth update of its oldstable distribution Debian 12 (codename bookworm). This point release mainly adds corrections for security issues, along with a few adjustments for serious problems. Security advisories ha…",neutral,0.9037981629371643
2025-09-06,Apple sued by authors over use of books in AI training,"The lawsuit is the latest in a wave of cases from authors, news outlets and others accusing major technology companies of violating legal protections for their works. Artificial intelligence startup Anthropic on Friday disclosed in a court filing in Californi…",negative,0.8848698735237122
2025-09-06,Anthropic to pay authors $1.5 billion to settle lawsuit over pirated books used to train AI chatbots,Artificial intelligence company Anthropic has agreed to pay $1.5 billion to settle a class-action lawsuit by book authors who say the company took pirated copies of their works to train its chatbot,negative,0.45578092336654663
2025-09-06,Trump hosts White House dinner for GOP lawmakers at paved space he dubbed 'Rose Garden Club',"President Donald Trump hosted a dinner Friday night for members of Congress in the newly paved White House Rose Garden, telling them they were the first gathering of what he dubbed the “Rose Garden Club.”",neutral,0.9306660890579224
2025-09-06,Verified College Students: 12 Months of Microsoft 365 Personal Free (New Accounts only),https://www.microsoft.com/en-us/m...nt-pricing Microsoft is giving away Microsoft 365 Personal subscriptions to all US college students. This subscription gives students free access to Microsoft's...,neutral,0.9158504605293274
2025-09-06,reflex-azure-auth 0.1.1,Integration with Azure (Microsoft identity platform) OpenID Connect,neutral,0.8680394291877747
2025-09-06,Tesla's proposed pay package could make Elon Musk a trillionaire,Elon Musk is already the wealthiest person in the world.,neutral,0.8577036261558533
2025-09-06,The number of mis-issued 1.1.1.1 certificates grows. Here�s the latest.,The number of mis-issued 1.1.1.1 certificates grows. Heres the latest. - posted in General Chat: Wednesday’s discovery of three mis-issued TLS certificates for Cloudflare’s 1.1.1.1 encrypted DNS lookup service generated intense interest and concern among In…,positive,0.5639861226081848
2025-09-06,policy-weaver 0.2.7,Policy Weaver for Microsoft Fabric,neutral,0.935639500617981
2025-09-06,Windows 11 25H2 Build 26220.5790(KB5065779)がリリース - Devチャンネル向け、ファイルエクスプローラーの改善や、Windows Studio Effectsなど,Microsoftは9月5日(現地時間)、Windows 11のWindows Insider ProgramのDevチャンネル向けの最新ビルド「Windows 11 Insider Preview Build 26220.5790(KB5,neutral,0.8749927282333374
2025-09-06,"I moved my Windows user folder to another SSD, and it made a surprising difference","Learn how moving your Windows User folder to an SSD can boost performance, enhance security, and free up space on your primary drive. Follow these steps for a smoother, more responsive Windows experience.",neutral,0.7173882126808167
2025-09-06,Updated Debian 12: 12.12 released,"The Debian project is pleased to announce the twelfth update of its oldstable distribution Debian 12 (codename bookworm). This point release mainly adds corrections for security issues, along with a few adjustments for serious problems. Security advisories ha…",neutral,0.9037981629371643
2025-09-05,Anthropic Agrees to Pay $1.5 Billion to Settle Author Class Action,Anthropic told a San Francisco federal judge on Friday that it has agreed to pay $1.5 billion to settle a class-action lawsuit from a group of authors who accused the artificial intelligence company of using their books to train its AI chatbot Claude without …,positive,0.46972909569740295
2025-09-05,OpenAI reorg at risk as Attorneys General push AI safety,"California, Delaware AGs blast ChatGPT shop over chatbot safeguards The Attorneys General of California and Delaware on Friday wrote to OpenAI's board of directors, demanding that the AI company take steps to ensure its services are safe for children.…",negative,0.8289706110954285
2025-09-05,Silicon Valley’s most powerful alliance just got stronger,"Eddy Cue deserves a raise. As the executive overseeing Apple's services division, he's highly incentivized to protect the tens of billions of dollars a year that Google pays to be the default search engine in Safari. ""I've lost a lot of sleep thinking about i…",neutral,0.7902248501777649
2025-09-06,Apple sued by authors over use of books in AI training,"The lawsuit is the latest in a wave of cases from authors, news outlets and others accusing major technology companies of violating legal protections for their works. Artificial intelligence startup Anthropic on Friday disclosed in a court filing in Californi…",negative,0.8848698735237122
2025-09-06,Anthropic to pay authors $1.5 billion to settle lawsuit over pirated books used to train AI chatbots,Artificial intelligence company Anthropic has agreed to pay $1.5 billion to settle a class-action lawsuit by book authors who say the company took pirated copies of their works to train its chatbot,negative,0.45578092336654663
2025-09-06,Trump hosts White House dinner for GOP lawmakers at paved space he dubbed 'Rose Garden Club',"President Donald Trump hosted a dinner Friday night for members of Congress in the newly paved White House Rose Garden, telling them they were the first gathering of what he dubbed the “Rose Garden Club.”",neutral,0.9306660890579224
2025-09-06,Verified College Students: 12 Months of Microsoft 365 Personal Free (New Accounts only),https://www.microsoft.com/en-us/m...nt-pricing Microsoft is giving away Microsoft 365 Personal subscriptions to all US college students. This subscription gives students free access to Microsoft's...,neutral,0.9158504605293274
2025-09-06,reflex-azure-auth 0.1.1,Integration with Azure (Microsoft identity platform) OpenID Connect,neutral,0.8680394291877747
2025-09-06,Tesla's proposed pay package could make Elon Musk a trillionaire,Elon Musk is already the wealthiest person in the world.,neutral,0.8577036261558533
2025-09-06,The number of mis-issued 1.1.1.1 certificates grows. Here�s the latest.,The number of mis-issued 1.1.1.1 certificates grows. Heres the latest. - posted in General Chat: Wednesday’s discovery of three mis-issued TLS certificates for Cloudflare’s 1.1.1.1 encrypted DNS lookup service generated intense interest and concern among In…,positive,0.5639861226081848
2025-09-06,policy-weaver 0.2.7,Policy Weaver for Microsoft Fabric,neutral,0.935639500617981
