date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-09-04,AMZN,78,0,60,18,0.0,0.8485,0.7915
2025-09-04,AAPL,78,0,36,42,0.0,0.825,0.8273
2025-09-04,GOOGL,84,18,30,36,0.7915,0.9055,0.7329
2025-09-04,005930.KS,78,10,45,23,0.9054,0.7745,0.8563
2025-09-04,2317.TW,65,30,35,0,0.8671,0.7271,0.0
2025-09-04,MSFT,83,6,48,29,0.5557,0.8161,0.774
2025-09-04,JD,62,24,29,9,0.9061,0.8066,0.7641
2025-09-04,BABA,70,25,20,25,0.7573,0.8533,0.8415
2025-09-04,T,78,6,66,6,0.8794,0.8784,0.8173
2025-09-04,META,84,0,60,24,0.0,0.8523,0.7129
